"hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date"
"38","City Hotel",0,33,2017,"March",10,6,1,4,2,0,0,"BB","FRA","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",100.3,0,0,"Check-Out","2017-03-11"
"39","City Hotel",1,101,2016,"June",27,27,1,5,1,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","NULL","NULL",0,"Transient",140,0,0,"Canceled","2016-05-06"
"40","Resort Hotel",0,7,2016,"October",43,19,0,2,1,0,0,"BB","PRT","Corporate","Corporate",1,0,5,"A","E",0,"No Deposit","NULL","270",0,"Transient",42,0,0,"Check-Out","2016-10-21"
"41","Resort Hotel",0,48,2015,"July",31,31,1,2,2,0,0,"BB","IRL","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","156","NULL",0,"Contract",101.65,0,1,"Check-Out","2015-08-03"
"42","Resort Hotel",0,160,2017,"August",33,18,2,5,2,0,0,"HB","PRT","Online TA","TA/TO",0,0,0,"D","D",1,"No Deposit","314","NULL",0,"Transient",203.71,0,0,"Check-Out","2017-08-25"
"43","City Hotel",0,336,2016,"September",39,21,2,6,2,0,0,"BB","DEU","Offline TA/TO","TA/TO",0,0,0,"A","A",1,"No Deposit","21","NULL",0,"Transient-Party",84.13,0,0,"Check-Out","2016-09-29"
"44","City Hotel",1,248,2017,"April",15,9,2,0,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","58","NULL",0,"Transient-Party",80,0,0,"Canceled","2017-04-04"
"45","City Hotel",0,27,2017,"July",27,2,2,0,2,0,0,"BB","BRA","Online TA","TA/TO",0,0,0,"A","A",3,"No Deposit","9","NULL",0,"Transient",152,0,0,"Check-Out","2017-07-04"
"46","City Hotel",0,14,2016,"August",36,31,0,1,1,0,0,"BB","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",124,0,1,"Check-Out","2016-09-01"
"47","City Hotel",1,30,2016,"February",6,2,1,5,2,2,0,"BB","BRA","Online TA","TA/TO",0,0,0,"B","B",0,"No Deposit","9","NULL",0,"Transient",139.05,0,0,"Canceled","2016-01-03"
"48","City Hotel",0,39,2016,"November",46,7,1,3,2,0,0,"BB","IRL","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",174.25,0,2,"Check-Out","2016-11-11"
"49","City Hotel",0,91,2017,"July",27,8,1,1,2,0,0,"BB","NOR","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",150,0,3,"Check-Out","2017-07-10"
"50","City Hotel",1,274,2015,"July",29,18,2,2,2,0,0,"BB","PRT","Groups","TA/TO",0,1,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",62,0,0,"Canceled","2015-07-06"
"51","City Hotel",1,26,2017,"May",21,21,2,0,1,0,0,"SC","CHN","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",144,0,1,"Canceled","2017-05-05"
"52","City Hotel",0,2,2015,"November",46,13,0,1,1,0,0,"BB","ITA","Direct","Direct",0,0,0,"A","A",0,"No Deposit","14","NULL",0,"Transient",79,0,0,"Check-Out","2015-11-14"
"53","City Hotel",0,28,2017,"August",33,14,1,2,2,0,0,"SC","ZAF","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",160,0,0,"Check-Out","2017-08-17"
"54","City Hotel",0,96,2017,"April",15,9,2,1,2,0,0,"BB","LUX","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","28","NULL",0,"Transient",89.1,0,0,"Check-Out","2017-04-12"
"55","Resort Hotel",1,11,2017,"January",1,6,0,2,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","177","NULL",0,"Transient",60,0,1,"Canceled","2016-12-26"
"56","Resort Hotel",1,25,2017,"February",8,24,2,2,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","6","NULL",0,"Transient",34,0,0,"Canceled","2017-02-14"
"57","Resort Hotel",1,32,2017,"April",14,8,2,4,2,0,0,"BB","DEU","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit","240","NULL",0,"Transient",110,0,0,"Canceled","2017-03-28"
"58","Resort Hotel",1,77,2017,"July",28,12,0,4,2,0,0,"BB","CN","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","240","NULL",0,"Transient",198.75,0,0,"Canceled","2017-04-26"
"59","City Hotel",1,224,2015,"October",40,2,1,2,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,1,0,"A","A",0,"No Deposit","3","NULL",0,"Transient-Party",65,0,0,"Canceled","2015-06-11"
"60","City Hotel",0,97,2017,"May",22,28,2,3,2,0,0,"HB","FRA","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","354","NULL",0,"Transient",164,0,0,"Check-Out","2017-06-02"
"61","Resort Hotel",0,1,2016,"February",10,29,1,3,2,0,0,"BB","NLD","Online TA","TA/TO",0,0,0,"A","D",0,"No Deposit","240","NULL",0,"Transient",66,1,0,"Check-Out","2016-03-04"
"62","City Hotel",0,11,2017,"March",11,12,2,2,2,0,0,"BB","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",93.93,0,1,"Check-Out","2017-03-16"
"63","City Hotel",0,175,2017,"June",23,9,0,2,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","3","NULL",0,"Transient-Party",130,0,0,"Check-Out","2017-06-11"
"64","City Hotel",1,130,2015,"August",31,1,2,1,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient-Party",76.5,0,1,"Canceled","2015-07-07"
"65","Resort Hotel",0,65,2015,"November",46,8,2,5,2,0,0,"BB","BRA","Online TA","TA/TO",0,0,0,"A","D",0,"No Deposit","240","NULL",0,"Transient",58,0,1,"Check-Out","2015-11-15"
"66","City Hotel",0,291,2016,"September",39,21,0,1,2,0,0,"HB","ITA","Offline TA/TO","TA/TO",0,0,1,"A","A",0,"No Deposit","3","NULL",44,"Transient-Party",117,0,1,"Check-Out","2016-09-22"
"67","City Hotel",0,110,2016,"July",30,19,0,4,3,0,0,"BB","DEU","Online TA","TA/TO",0,0,0,"D","B",0,"No Deposit","15","NULL",0,"Transient",113.76,0,1,"Check-Out","2016-07-23"
"68","City Hotel",0,257,2015,"July",27,1,0,2,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","6","NULL",0,"Transient",101.5,0,0,"Check-Out","2015-07-03"
"69","City Hotel",0,88,2015,"October",41,5,1,1,2,0,0,"HB","ITA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","26","NULL",77,"Transient-Party",112.2,0,0,"Check-Out","2015-10-07"
"70","City Hotel",1,316,2016,"May",22,26,0,3,1,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","30","NULL",0,"Transient-Party",100,0,0,"Canceled","2016-05-23"
"71","City Hotel",0,18,2016,"June",24,8,0,2,2,0,0,"BB","IRN","Online TA","TA/TO",0,0,0,"A","D",0,"No Deposit","9","NULL",0,"Transient",121,1,2,"Check-Out","2016-06-10"
"72","City Hotel",0,41,2015,"October",42,16,1,2,2,0,0,"BB","FRA","Online TA","TA/TO",0,0,0,"A","D",0,"No Deposit","9","NULL",0,"Transient",105.9,0,2,"Check-Out","2015-10-19"
"73","Resort Hotel",0,131,2015,"September",38,17,4,10,2,0,0,"BB","GBR","Offline TA/TO","TA/TO",0,0,0,"E","E",0,"No Deposit","142","NULL",0,"Contract",80.63,0,0,"Check-Out","2015-10-01"
"74","City Hotel",0,6,2015,"August",33,10,1,5,2,0,0,"SC","ESP","Online TA","TA/TO",0,0,0,"A","B",0,"No Deposit","9","NULL",0,"Contract",80,0,1,"Check-Out","2015-08-16"
"75","City Hotel",0,178,2016,"August",33,10,0,4,2,0,0,"BB","BEL","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient-Party",99.45,0,2,"Check-Out","2016-08-14"
"76","City Hotel",0,53,2016,"November",47,19,2,2,2,0,0,"SC","ESP","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",74.8,0,1,"Check-Out","2016-11-23"
"77","City Hotel",0,18,2016,"January",3,15,0,2,3,0,0,"BB","FRA","Direct","Direct",0,0,0,"A","D",0,"No Deposit","14","NULL",0,"Transient",118,0,2,"Check-Out","2016-01-17"
"78","City Hotel",1,34,2016,"October",44,26,0,3,2,0,0,"SC","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",109,0,3,"Canceled","2016-10-01"
"79","Resort Hotel",0,33,2017,"August",34,23,0,2,2,0,0,"BB","PRT","Corporate","Corporate",1,0,9,"A","A",0,"No Deposit","NULL","154",0,"Transient",145,0,0,"Check-Out","2017-08-25"
"80","Resort Hotel",1,211,2016,"September",37,7,0,3,1,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"D","D",0,"Non Refund","1","NULL",0,"Transient",89,0,0,"Canceled","2016-02-09"
"81","City Hotel",0,12,2017,"February",6,9,1,3,2,0,0,"SC","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","7","NULL",0,"Transient",57.6,0,1,"Check-Out","2017-02-13"
"82","City Hotel",1,116,2016,"November",47,16,0,3,3,0,0,"BB","BRA","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",122.4,0,1,"Canceled","2016-08-31"
"83","City Hotel",0,75,2017,"April",14,5,0,4,1,0,0,"BB","NLD","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","21","NULL",0,"Transient-Party",85,0,0,"Check-Out","2017-04-09"
"84","City Hotel",0,58,2016,"May",21,16,1,2,2,0,0,"SC","CN","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","7","NULL",0,"Transient",89.4,0,2,"Check-Out","2016-05-19"
"85","City Hotel",0,11,2016,"November",49,29,0,1,1,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"A","D",0,"No Deposit","9","NULL",0,"Transient",103,0,2,"Check-Out","2016-11-30"
"86","City Hotel",1,27,2016,"May",21,20,2,4,2,0,0,"BB","ITA","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",135.87,0,0,"Canceled","2016-04-24"
"87","City Hotel",1,246,2016,"July",30,20,0,3,3,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","83","NULL",0,"Contract",96.73,0,1,"Canceled","2016-01-08"
"88","City Hotel",0,80,2015,"July",31,31,2,7,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","15","NULL",0,"Transient-Party",63.46,0,0,"Check-Out","2015-08-09"
"89","City Hotel",0,72,2015,"December",53,30,0,3,2,0,0,"BB","BEL","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Contract",120.67,0,0,"Check-Out","2016-01-02"
"90","City Hotel",1,131,2016,"October",42,10,1,0,1,0,0,"SC","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",108,0,0,"Canceled","2016-10-07"
"91","City Hotel",0,82,2016,"October",42,10,1,3,2,0,0,"BB","IRL","Offline TA/TO","TA/TO",0,0,0,"D","D",0,"No Deposit","85","NULL",0,"Transient",90.95,0,1,"Check-Out","2016-10-14"
"92","Resort Hotel",0,4,2017,"January",2,14,0,1,1,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","168","NULL",0,"Transient-Party",68,0,0,"Check-Out","2017-01-15"
"93","Resort Hotel",0,3,2015,"July",29,18,2,1,1,0,0,"BB","CN","Direct","Direct",0,0,0,"D","E",0,"No Deposit","NULL","NULL",0,"Transient",95,0,1,"Check-Out","2015-07-21"
"94","City Hotel",1,195,2015,"September",38,17,0,2,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,1,0,"A","A",0,"No Deposit","20","NULL",0,"Transient",48,0,0,"Canceled","2015-07-23"
"95","City Hotel",0,209,2017,"March",13,30,2,4,2,0,0,"SC","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",90.93,0,1,"Check-Out","2017-04-05"
"96","Resort Hotel",0,2,2017,"January",4,25,0,2,1,0,0,"BB","PRT","Corporate","Corporate",0,0,0,"A","A",0,"No Deposit","NULL","484",0,"Transient",40,0,0,"Check-Out","2017-01-27"
"97","City Hotel",1,205,2016,"September",38,16,1,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","37","NULL",0,"Transient",120,0,0,"Canceled","2016-03-15"
"98","City Hotel",1,626,2016,"November",46,7,1,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","1","NULL",0,"Transient",62.8,0,0,"Canceled","2016-09-26"
"99","Resort Hotel",1,210,2015,"August",35,25,0,5,2,0,0,"BB","PRT","Online TA","TA/TO",0,1,0,"A","A",0,"No Deposit","240","NULL",0,"Transient",134,0,1,"Canceled","2015-02-05"
"100","City Hotel",0,14,2016,"December",49,1,0,2,1,0,0,"SC","GBR","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit","7","NULL",0,"Transient",67.76,0,1,"Check-Out","2016-12-03"
"101","Resort Hotel",0,41,2016,"May",21,16,1,3,3,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"D","D",1,"No Deposit","240","NULL",0,"Transient",125,0,0,"Check-Out","2016-05-20"
"102","City Hotel",0,39,2015,"December",52,25,1,2,3,0,0,"BB","FRA","Online TA","TA/TO",0,0,0,"A","D",0,"No Deposit","89","NULL",0,"Transient",90.23,0,1,"Check-Out","2015-12-28"
"103","City Hotel",1,137,2016,"November",47,15,0,2,2,0,0,"BB","BEL","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",90,0,1,"Canceled","2016-11-06"
"104","Resort Hotel",0,99,2016,"May",21,15,2,5,2,0,0,"BB","GBR","Offline TA/TO","TA/TO",0,0,0,"D","D",0,"No Deposit","8","NULL",0,"Transient",52.56,0,0,"Check-Out","2016-05-22"
"105","City Hotel",0,448,2017,"June",24,17,2,1,2,0,0,"BB","GBR","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","229","NULL",0,"Transient-Party",112.67,0,1,"Check-Out","2017-06-20"
"106","City Hotel",1,84,2016,"December",50,8,0,3,2,2,0,"HB","PRT","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit","9","NULL",0,"Transient",231,0,1,"Canceled","2016-09-29"
"107","Resort Hotel",0,131,2017,"May",22,29,2,5,1,0,0,"HB","CHE","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit","240","NULL",0,"Transient",161.29,0,2,"Check-Out","2017-06-05"
"108","City Hotel",0,138,2017,"March",11,18,2,2,1,0,0,"BB","DEU","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","7","NULL",0,"Transient",61.52,0,1,"Check-Out","2017-03-22"
"109","City Hotel",1,66,2015,"October",41,9,1,2,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","21","NULL",0,"Transient-Party",75,0,0,"Canceled","2015-08-25"
"110","City Hotel",0,0,2016,"March",13,21,1,0,2,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"E","G",0,"No Deposit","NULL","174",0,"Transient-Party",135,0,0,"Check-Out","2016-03-22"
"111","Resort Hotel",0,2,2017,"June",23,8,0,1,1,0,0,"BB","PRT","Corporate","Corporate",0,0,0,"A","A",0,"No Deposit","NULL","337",0,"Transient",75,0,0,"Check-Out","2017-06-09"
"112","Resort Hotel",1,222,2015,"September",38,15,1,5,2,0,0,"FB","PRT","Groups","Corporate",0,25,0,"A","A",0,"Non Refund","252","NULL",0,"Transient",49.95,0,0,"Canceled","2015-03-03"
"113","Resort Hotel",0,31,2016,"April",17,18,1,1,2,0,0,"BB","AUS","Groups","Corporate",0,0,0,"E","E",0,"No Deposit","NULL","NULL",0,"Transient-Party",85,0,0,"Check-Out","2016-04-20"
"114","Resort Hotel",0,189,2016,"June",23,1,1,4,2,0,0,"BB","IRL","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","36","NULL",0,"Transient",51.84,0,0,"Check-Out","2016-06-06"
"115","Resort Hotel",0,38,2017,"February",6,11,0,1,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"D","D",0,"No Deposit","NULL","NULL",0,"Transient",74,0,2,"Check-Out","2017-02-12"
"116","City Hotel",1,66,2017,"April",15,9,2,0,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","NULL","NULL",0,"Transient",100,0,0,"Canceled","2017-02-02"
"117","Resort Hotel",0,12,2017,"January",1,2,1,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,3,"A","A",2,"No Deposit","NULL","103",0,"Transient",35,0,0,"Check-Out","2017-01-04"
"118","Resort Hotel",0,80,2016,"December",49,2,0,2,2,0,0,"BB","IRL","Groups","TA/TO",0,0,0,"D","D",0,"No Deposit","253","NULL",0,"Transient-Party",51.8,0,1,"Check-Out","2016-12-04"
"119","City Hotel",0,13,2016,"December",50,5,1,1,1,0,0,"SC","ITA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",88,0,0,"Check-Out","2016-12-07"
"120","City Hotel",1,156,2017,"April",17,26,0,3,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","37","NULL",0,"Transient",100,0,0,"Canceled","2016-11-21"
"121","City Hotel",0,0,2016,"May",21,20,0,1,1,0,0,"BB","BRA","Online TA","TA/TO",0,0,0,"A","B",0,"No Deposit","9","NULL",0,"Transient",161,0,1,"Check-Out","2016-05-21"
"122","City Hotel",0,157,2016,"December",50,8,0,3,2,0,0,"BB","ITA","Offline TA/TO","TA/TO",0,0,0,"A","A",2,"No Deposit","83","NULL",0,"Transient-Party",68,0,0,"Check-Out","2016-12-11"
"123","Resort Hotel",0,65,2015,"September",39,21,2,5,2,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit","241","NULL",0,"Transient",89.14,0,1,"Check-Out","2015-09-28"
"124","City Hotel",0,61,2016,"July",30,17,2,3,2,0,0,"BB","FIN","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",120.6,0,1,"Check-Out","2016-07-22"
"125","Resort Hotel",0,23,2016,"November",47,18,1,2,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit","240","NULL",0,"Transient",63,0,3,"Check-Out","2016-11-21"
