"artist_name","track_name","album_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"Wolfgang Amadeus Mozart","Symphony No.28 In C, K.200: 4. Presto","Mozart In The Morning",0.444,0.282,0,-14.509,1,0.0306,0.974,0.947,0.334,0.691,77.448,208000
"Frédéric Chopin","Mazurka No.46 In C, Op.67 No.3: Allegretto","Chopin Cosy Moments",0.349,0.094,7,-22.558,1,0.0527,0.995,0.901,0.164,0.192,102.406,88173
"Armin van Buuren","Heading up High (feat. Kensington)","Embrace",0.516,0.921,4,-4.805,1,0.0779,0.00294,0.00222,0.139,0.19,128.008,232853
"Mother Nature Sound FX","Lounging About","Fall Tunes | Deep Sleep",0.184,0.0311,8,-31.472,1,0.0377,0.983,0.982,0.0734,0.0303,62.348,165607
"Vicente Fernández","Mi Vejez","Lastima Que Seas Ajena",0.437,0.372,0,-7.374,1,0.0384,0.164,0,0.35,0.565,131.405,197800
"Frédéric Chopin","<U+30B7><U+30E7><U+30D1><U+30F3>:12<U+306E><U+30A8><U+30C1><U+30E5><U+30FC><U+30C9><U+4F5C><U+54C1>10 - <U+7B2C>1<U+756A><U+300E><U+6EDD><U+300F> <U+30CF><U+9577><U+8ABF>","<U+30B7><U+30E7><U+30D1><U+30F3>:<U+30A8><U+30C1><U+30E5><U+30FC><U+30C9>&<U+30D0><U+30E9><U+30FC><U+30C9>",0.278,0.303,0,-15.615,1,0.0328,0.949,0.92,0.0932,0.0561,84.648,120706
"Johann Sebastian Bach","Suite for Cello Solo No.1 in G, BWV 1007 - Transcribed for Solo Guitar by Göran Söllscher: 3. Courante","<U+30D0><U+30C3><U+30CF><U+3067><U+697D><U+3057><U+3080><U+512A><U+96C5><U+306A><U+5348><U+5F8C>",0.316,0.212,3,-23.364,1,0.0386,0.934,0.884,0.131,0.64,101.732,154466
"Johann Sebastian Bach","Organ Concerto in A Minor, BWV 593 (Arr. of Vivaldi's RV 522): III. Allegro","Bach: Complete Organ Works",0.176,0.3,9,-11.801,0,0.0294,0.924,0.831,0.306,0.248,96.616,291440
"Coti","¿Dónde Están Corazón?","Lo Dije Por Boca De Otro Edición 2013",0.65,0.477,9,-9.008,1,0.0311,0.675,0.000376,0.158,0.702,83.977,334133
"Mother Nature Sound FX","Happiness","Comforting Music Tracks",0.223,0.122,4,-18.582,0,0.0423,0.936,0.948,0.216,0.0551,115.076,100000
"Johann Sebastian Bach","Allein Gott in der Höh' sei Ehr, BWV 260","Bach 333: 4-Part Chorales (Vol. 1)",0.183,0.19,4,-19.445,0,0.0646,0.975,5.33e-06,0.233,0.286,79.21,56426
"Johann Sebastian Bach","Brandenburg Concerto No.2 in F, BWV 1047: 2. Andante","Bach: A Musical Genius",0.265,0.0802,2,-23.462,0,0.0453,0.686,0.00859,0.0788,0.187,116.748,209333
"Miles Davis","A Gal In Calico","The Musings Of Miles",0.643,0.275,5,-15.151,0,0.0433,0.68,0,0.111,0.617,90.956,315760
"Jack White","I'm Bound to Pack It Up - Remixed","Jack White Acoustic Recordings 1998 - 2016",0.461,0.288,6,-14.763,1,0.0328,0.844,2.57e-06,0.143,0.293,88.202,189773
"Johann Sebastian Bach","Violin Concerto No.1 In A Minor, BWV 1041: 1. (Allegro moderato)","Bach - Time",0.499,0.351,9,-11.509,0,0.0448,0.951,9.94e-05,0.118,0.618,90.666,235946
"Wolfgang Amadeus Mozart","Symphony No.23 In D Major, K.181: 2. Andantino","The Mozart Radio Broadcasts",0.295,0.0379,7,-28.096,1,0.0434,0.94,0.828,0.251,0.249,84.639,103826
"Pyotr Ilyich Tchaikovsky","Souvenir de Hapsal, Op. 2: No. 3, Chant sans paroles","Tchaikovsky: Complete Piano Works",0.457,0.0608,5,-24.116,1,0.0428,0.995,0.833,0.1,0.507,73.672,187600
"Frédéric Chopin","24 Préludes, Op.28: 8. In F Sharp Minor","Chopin: A Musical Genius",0.258,0.278,6,-16.006,0,0.0313,0.994,0.898,0.11,0.085,103.246,89040
"Xavier Rudd","Sky to Ground","Koonyum Sun",0.643,0.495,2,-7.256,1,0.0326,0.604,2.42e-06,0.46,0.584,140.106,268213
"Wolfgang Amadeus Mozart","Minuet in A Flat Major, K.15ff","Mozart: A Musical Landscape",0.424,0.217,7,-19.198,1,0.0322,0.767,0.969,0.094,0.773,65.603,54040
"Sergei Rachmaninoff","<U+30D1><U+30AC><U+30CB><U+30FC><U+30CB><U+306E><U+4E3B><U+984C><U+306B><U+3088><U+308B><U+72C2><U+8A69><U+66F2> <U+4F5C><U+54C1>43 <U+5909><U+594F>11 <U+30E2><U+30C7><U+30E9><U+30FC><U+30C8>","<U+30E9><U+30D5><U+30DE><U+30CB><U+30CE><U+30D5>:<U+30D4><U+30A2><U+30CE><U+5354><U+594F><U+66F2><U+7B2C>2<U+756A>/<U+30D1><U+30AC><U+30CB><U+30FC><U+30CB><U+306E><U+4E3B><U+984C><U+306B><U+3088><U+308B><U+72C2><U+8A69><U+66F2>",0.23,0.121,2,-28.082,1,0.0403,0.962,0.857,0.253,0.0375,70.763,94640
"Fito Paez","Gente Sin Swing","Ciudad De Pobres Corazones",0.701,0.57,7,-7.619,0,0.0285,0.0709,0.00849,0.125,0.724,99.66,251666
"Pyotr Ilyich Tchaikovsky","6 Morceaux, Op. 51: No. 6. Valse sentimentale (arr. for cello and orchestra)","50 Of the Best Classical Music: Tchaikovsky",0.187,0.0445,0,-30.415,1,0.0395,0.879,0.863,0.116,0.0547,95.201,126000
"Wolfgang Amadeus Mozart","Symphony No. 41 in C Major, K. 551 ""Jupiter"": III. Menuetto Allegretto. Trio","Mozart: Symphonies Nos. 39, 40 & 41 ""Jupiter""",0.338,0.13,7,-15.822,1,0.0306,0.919,0.783,0.166,0.266,78.547,347920
"Wolfgang Amadeus Mozart","Piano Sonata No.6 In D, K.284 ""Dürnitz"": 2. Rondeau en Polonaise (Andante)","The World of Mozart",0.378,0.108,9,-20.828,1,0.0378,0.987,0.824,0.124,0.36,82.469,201813
"Mother Nature Sound FX","Appeal To Nature","27 Harmony With Natures Sounds",0.304,0.501,7,-24.338,1,0.0309,0.61,0.875,0.548,0.0545,85.916,94000
"Sergei Rachmaninoff","Variations on a Theme of Chopin in C Minor, Op. 22: IV. Variation 3. L'istesso Tempo","Piano Variations, Vol. 8 (Rachmaninoff, Godowsky & Sorabji)",0.321,0.123,8,-27.247,1,0.0401,0.989,0.981,0.219,0.643,131.927,15200
"Pyotr Ilyich Tchaikovsky","Swan Lake, Op. 20, TH 12 (Excerpts): No. 13e, Dance of the Swans. Pas d'action. Più mosso","The Symphony Lounge, Vol. 12: Tchaikovsky Ballet Music — Romeo & Julia Overture-Fantasy, The Sleeping Beauty, & Swan Lake",0.341,0.127,3,-20.493,0,0.0357,0.93,0.51,0.111,0.262,129.594,225669
"Sergei Rachmaninoff","7 Morceaux de salon, Op. 10: IV. Mélodie","Rachmaninoff: Complete Piano Music",0.205,0.00624,4,-30.77,0,0.0449,0.994,0.936,0.0715,0.0471,70.382,230546
"Mother Nature Sound FX","Rain Drop Splash","Rain | Nature | Relax",0.195,0.998,8,-19.474,1,0.0431,0.665,0.992,0.782,0.00451,59.405,92319
"Mother Nature Sound FX","Dreams of Nature","Spring Relaxation & Meditation",0.154,0.136,0,-20.449,0,0.0383,0.636,0.865,0.0706,0.0344,96.119,168894
"Deep Purple","All I Got Is You","inFinite",0.401,0.913,4,-5.934,0,0.0536,0.000258,0.000456,0.0751,0.346,78.007,282426
"Pyotr Ilyich Tchaikovsky","At the Ball, Op.38 No.3","Tchaikovsky: Romances",0.285,0.0416,11,-22.519,0,0.0884,0.994,0.000527,0.0768,0.119,74.379,153960
"Hot Chip","Hand Me Down Your Love","One Life Stand",0.737,0.715,0,-4.559,0,0.045,0.0492,0.00373,0.076,0.621,125.038,273308
"La Renga","El Twist Del Pibe","La Renga",0.211,0.933,9,-5.295,0,0.255,0.0294,0,0.3,0.273,187.508,179826
"Paul McCartney","Oobu Joobu Pt. 5","Flaming Pie (Archive Collection)",0.401,0.454,9,-10.664,1,0.113,0.487,1.59e-05,0.771,0.356,77.358,528333
"Mother Nature Sound FX","Breathtaking Aurora","Soft Tranquil Forest Album",0.344,0.347,5,-24.177,1,0.085,0.646,0,0.291,0.244,97.365,180472
"Johann Sebastian Bach","Orgelbüchlein: 5. Puer natus in Bethlehem, BWV 603","Bach: The Greatest",0.3,0.0457,7,-29.854,0,0.0413,0.926,0.922,0.108,0.447,61.142,60128
"Sabaton","Blood of Bannockburn","The Last Stand",0.484,0.972,0,-5.155,1,0.0883,0.000364,6.72e-05,0.264,0.426,95.992,174698
"Wolfgang Amadeus Mozart","Piano Concerto No. 21 in C Major, K. 467: I. Allegro maestoso","Yeol Eum Son: Mozart",0.397,0.084,0,-24.941,1,0.0365,0.962,0.925,0.136,0.295,129.829,898532
"Mother Nature Sound FX","Deep Asleep, Totally Relaxed","Wellness | Zen Meditation Sounds",0.15,0.0382,0,-30.673,1,0.0392,0.952,0.902,0.0932,0.0563,70.432,192000
"The Raconteurs","Hands","Broken Boy Soldiers",0.326,0.673,1,-7.81,1,0.0348,0.00108,0.00621,0.255,0.1,96.868,241200
"System Of A Down","CUBErt","System Of A Down",0.48,0.918,0,-5.3,1,0.0674,0.00086,0.64,0.381,0.594,92.926,109133
"Ludwig van Beethoven","6 Piano Variations in F Major, Op. 34: Variation IV. (Tempo di menuetto)","Beethoven for cozy days",0.45,0.0479,3,-27.857,1,0.0411,0.993,0.935,0.199,0.245,83.098,85026
"Edward Sharpe & The Magnetic Zeros","Time","HOPE Campaign Tribute Album 2010",0.508,0.454,7,-8.501,0,0.0347,0.357,0,0.056,0.568,180.948,172226
"Sergei Rachmaninoff","Carnaval, Op. 9: Promenade","Sergei Rachmaninoff: Complete RCA Recordings",0.335,0.0115,1,-23.899,1,0.0567,0.994,0.515,0.142,0.182,174.028,112600
"Johann Sebastian Bach","Sonata For Viola Da Gamba And Harpsichord No.3 In G Minor, BWV 1029: 3. Allegro","Bach Eternal",0.344,0.219,7,-21.05,0,0.0403,0.978,0.923,0.152,0.704,96.2,217306
"Johann Sebastian Bach","Suite For Cello Solo No.1 In G Major, BWV 1007: 1. Prélude","In the Key of Bach",0.39,0.141,7,-20.001,1,0.042,0.989,0.877,0.142,0.562,88.491,149360
"Vision Divine","Letter to My Child Never Born","9 Degrees West of the Moon",0.301,0.883,1,-7.353,1,0.0802,0.00268,0.0074,0.112,0.233,160.043,536066
"Wolfgang Amadeus Mozart","Symphony No.43 in F, K.76: 3. Menuetto","Mozart 225 - Works Of Doubtful Authenticity",0.417,0.146,0,-13.036,1,0.0292,0.965,0.163,0.28,0.425,155.949,221186
"AWOLNATION","People","Megalithic Symphony",0.606,0.81,1,-4.98,1,0.0308,0.000726,1.48e-05,0.0995,0.415,120.024,238066
"Pyotr Ilyich Tchaikovsky","The Sleeping Beauty (Suite), Op. 66a, TH 234: 2. Pas d'action","Tchaikovsky: Ballet Suites - Nutcracker, Swan Lake, Sleeping Beauty (Classic FM: Full Works)",0.111,0.245,3,-18.154,1,0.0427,0.912,0.713,0.073,0.065,75.028,393066
"Wolfgang Amadeus Mozart","Violin Concerto No. 5 in A Major, K. 219 ""Turkish"": I. Allegro aperto - Adagio - Allegro aperto","Mozart: Violin Concertos, Vol. 1",0.396,0.114,9,-20.991,1,0.0427,0.93,0.17,0.145,0.359,124.668,594293
"Los Ángeles Azules","Detrás De Mi Ventana","Esto Sí Es Cumbia",0.81,0.511,5,-4.568,1,0.0389,0.335,0,0.071,0.801,84.962,266400
"Sergei Rachmaninoff","Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando (2)","Rachmaninoff: Piano Concerto No. 2",0.392,0.0428,3,-26.855,1,0.0345,0.957,0.971,0.111,0.0444,106.164,135376
"Nana Mouskouri","O Du Frohliche","Singt Die Schönsten Deutschen Weihnachtslieder",0.161,0.189,0,-14.607,1,0.0383,0.988,0.00134,0.17,0.194,83.618,158320
"Wolfgang Amadeus Mozart","Trauermarsch in C Major, K.453a","Mozart 225: Complete Keyboard Music",0.577,0.00418,0,-22.619,0,0.0845,0.995,0.792,0.0597,0.194,134.833,140720
"Frédéric Chopin","Prélude No.26 In A Flat Major, Op.Posth.","Chopin - Spring",0.278,0.274,8,-21.659,1,0.047,0.987,0.969,0.116,0.42,129.339,46212
"Johann Sebastian Bach","Aria variata alla maniera italiana in A Minor, BWV 989: No. 5, Variazione 4","Bach & Italy, Vol. 2: Busoni, Perrachio",0.527,0.183,4,-29.082,0,0.0611,0.994,0.86,0.166,0.966,100.226,61053
"Ludwig van Beethoven","Piano Sonata No. 15 in D Major, Op. 28 ""Pastorale""","Schnabel Plays Beethoven",0.614,0.255,2,-19.145,1,0.0332,0.99,0.228,0.211,0.452,109.311,67400
"Wolfgang Amadeus Mozart","Allegro in F Major, K. 15t","Mozart: Piano Concertos Nos. 1 & 9, Pieces from London Sketchbook",0.373,0.119,5,-24.3,1,0.045,0.992,0.896,0.127,0.474,168.19,112266
"Frédéric Chopin","Chopin: Nocturne No. 13 in C Minor, Op. 48 No. 1","Mikhail Rudy: Chopin: Piano Works",0.3,0.0932,7,-23.107,1,0.0375,0.984,0.856,0.0628,0.0377,98.423,340480
"Johann Sebastian Bach","French Suite No. 3 in B Minor, BWV 814: V. Menuet and Trio","Bach: French Suites",0.42,0.0948,11,-24.242,0,0.0413,0.995,0.93,0.139,0.611,137.979,214826
"Bob Marley & The Wailers","Exodus","Exodus 30th Anniversary Edition",0.832,0.581,7,-15.037,1,0.0479,0.0416,0.000539,0.428,0.968,132.918,449880
"Counting Crows","Hanginaround - Live At Heineken Music Hall/2003","New Amsterdam Live At Heineken Music Hall February 6, 2003",0.456,0.915,0,-4.7,1,0.0565,0.0674,1.04e-05,0.943,0.667,91.033,329013
"Johann Sebastian Bach","Concerto for 3 Harpsichords, Strings and Continuo No. 1 in D Minor, BWV 1063: III. Allegro","Bach: Harpsichord Concertos BWV 1052- 1058 & 1060-1065",0.455,0.394,2,-14.004,0,0.0282,0.443,3.71e-05,0.369,0.813,82.957,333066
"Frédéric Chopin","Cello Sonata in G Minor, Op. 65: II. Scherzo. Allegro con brio","Chopin: Complete Works for Cello",0.18,0.0414,2,-25.777,1,0.0434,0.992,0.913,0.119,0.124,66.812,301613
"Ludwig van Beethoven","Violin Sonata No. 10 in G Major, Op. 96: II. Adagio espressivo","Beethoven: Sonatina Lunatica (Violin Sonatas Nos. 9 & 10)",0.0902,0.052,3,-26.259,1,0.0426,0.961,0.879,0.114,0.0941,61.867,340213
"Antonín Dvorák","Serenade in E Major, Op. 22, B. 52 (orch. N. Ingman): III. Scherzo: Vivace","Dvorak Discoveries",0.38,0.0866,5,-22.382,1,0.0367,0.939,0.84,0.117,0.251,133.637,336733
"Wolfgang Amadeus Mozart","Adagio & Fugue in C Minor, K. 546","Trio a cordes français, Vol. 1: Mozart",0.244,0.181,5,-19.715,0,0.0361,0.969,0.826,0.105,0.174,105.344,539573
"Major Lazer","Night Riders","Peace Is The Mission (Extended)",0.63,0.888,11,-2.388,0,0.0995,0.0761,1.94e-06,0.26,0.561,141.019,233333
"Johann Sebastian Bach","15 Three-part Inventions, BWV 787/801: No. 5 in E flat, BWV 791","Bach for the Soul",0.384,0.0235,0,-30.273,0,0.033,0.994,0.926,0.114,0.398,65.508,134360
"Ludwig van Beethoven","Piano Sonata No. 15 in D Major, Op. 28 -""Pastorale"": II. Andante","Beethoven: Sonatas Nos. 13 - 19",0.348,0.0337,9,-26.724,1,0.0447,0.991,0.896,0.063,0.304,84.035,380666
"Johann Sebastian Bach","6 Kleine Präludien: VI. Prelude in E Minor, BWV 938","Bach: Works for Harpsichord, Vol. 1",0.298,0.316,3,-20.824,0,0.0363,0.818,0.0716,0.0581,0.86,146.299,137200
"Pyotr Ilyich Tchaikovsky","Suite No. 4 in G Major, Op. 61, ""Mozartiana"": IV. Variation 10: Allegro vivo —","Tchaikovsky: Suite No. 4 / The Seasons",0.226,0.0499,7,-21.755,1,0.0405,0.963,0.318,0.0969,0.143,79.319,190800
"Los Pericos","Cerca De Mi","Desde Cero",0.677,0.556,10,-7.485,1,0.0474,0.0628,0,0.364,0.899,77.958,236386
"Violeta Parra","Santiago Penando Estás","Canciones Reencontradas en París",0.541,0.226,5,-9.6,1,0.0675,0.929,9.43e-05,0.11,0.534,185.081,215782
"Pyotr Ilyich Tchaikovsky","Violin Concerto in D Major, Op. 35, TH 59: I. Allegro moderato","Milestones of a Legend - Váša Príhoda , Vol. 1",0.36,0.359,2,-12.079,1,0.0537,0.977,0.213,0.114,0.277,100.158,1024160
"Monde des Titounis","Fuchs, Du Hast Die Gans Gestohlen","Kinderlieder",0.908,0.158,0,-13.711,1,0.38,0.924,0,0.0843,0.401,90.031,113333
"Johann Sebastian Bach","Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"": Var. 18 Canone alla Sesta a 1 Clav.","Forever Bach",0.477,0.174,7,-23.007,1,0.0602,0.993,0.944,0.171,0.906,145.164,109000
"Gilberto Gil","Extra","Extra",0.741,0.561,0,-8.666,0,0.0485,0.294,0.00343,0.0846,0.605,85.032,354813
"Mother Nature Sound FX","Spring Freshwater","Background Rustic Countryside Songs",0.172,0.199,1,-25.76,1,0.0503,0.229,0.00011,0.379,0.208,73.332,205801
"Frédéric Chopin","Mazurka No. 2 en La mineur, Op. 7","Chopin : Nocturnes, valses et mazurkas",0.34,0.0427,9,-24.928,0,0.0391,0.995,0.918,0.0642,0.0872,73.714,219626
"Los Piojos","Buenos Días Palomar","Civilización",0.618,0.788,7,-7.266,1,0.0256,0.147,5.27e-05,0.111,0.81,95.99,356186
"Wolfgang Amadeus Mozart","Andante And Five Variations For Piano Duet In G, K.501: Variation 5","<U+590F><U+306B><U+8074><U+304D><U+305F><U+3044><U+30E2><U+30FC><U+30C4><U+30A1><U+30EB><U+30C8>",0.348,0.0975,7,-20.77,1,0.033,0.984,0.916,0.107,0.367,75.404,120586
"Wolfgang Amadeus Mozart","Piano Sonata No. 18 in D Major, K. 576: II. Adagio","Mozart: Complete Piano Sonatas",0.3,0.0873,9,-24.924,1,0.0476,0.991,0.925,0.0848,0.167,168.742,291200
"Johann Sebastian Bach","French Suite No. 2 in C Minor, BWV 813: VI. Minuet II","Bach: Keyboard Works",0.448,0.392,2,-22.45,1,0.0407,0.332,0.98,0.099,0.968,134.589,71866
"David Guetta","Toy Story","Nothing but the Beat - The Electronic Album",0.563,0.91,1,-3.929,1,0.0639,0.0703,0.00118,0.146,0.351,130.017,225230
"RADWIMPS","<U+4E94><U+6708><U+306E><U+877F>","×<U+3068><U+25CB><U+3068><U+7F6A><U+3068>",0.243,0.967,1,-0.67,1,0.105,0.000751,0,0.186,0.393,127.429,302946
"Camille Saint-Saëns","Cyprès et Lauriers Op. 156: Lauriers","Saint-Saëns Symphony No. 3 etc",0.153,0.257,10,-16.103,1,0.0389,0.858,0.927,0.0575,0.0438,86.05,519906
"Wolfgang Amadeus Mozart","Piano Sonata No.11 In A, K.331 -""Alla Turca"" - Original Manuscript Version: 2. Menuetto","Mozart 225: Complete Keyboard Music",0.369,0.0514,9,-24.069,1,0.0401,0.994,0.894,0.195,0.448,142.888,327626
"Foo Fighters","Oh, George","Foo Fighters",0.436,0.919,0,-6.82,1,0.0407,9.51e-05,5.24e-06,0.0783,0.144,125.216,181800
"Mother Nature Sound FX","Dark Rain","! ! ! ( Valley ) ! ! !",0.165,0.484,5,-28.193,0,0.044,0.413,0.889,0.105,0.0293,78.782,78994
"Silvio Rodríguez","El Vigía","Tríptico (Vol. 2)",0.568,0.0335,8,-23.523,0,0.0435,0.961,0.004,0.101,0.271,96.949,179451
"Frédéric Chopin","3 Ecossaises, Op.72 No.3: No. 3 In D-Flat Major","Chopin - Harmony",0.338,0.399,1,-23.059,1,0.048,0.985,0.893,0.184,0.338,118.221,51798
"Mother Nature Sound FX","Ambient Weather","!!""+$ Uplifting $+""!!",0.158,0.486,10,-30.279,0,0.0613,0.284,0.882,0.115,0.0349,132.542,69276
"Interpol","Number 10","Marauder",0.145,0.894,8,-4.032,1,0.0766,0.000455,0.7,0.245,0.112,141.162,192973
"Ben Harper","So High So Low","Diamonds On The Inside",0.28,0.905,2,-5.021,1,0.143,0.0101,5.17e-06,0.153,0.205,104.06,223701
"Rhapsody Of Fire","Flash of the Blade","From Chaos to Eternity",0.458,0.971,7,-4.726,1,0.0546,0.00792,0.00026,0.239,0.417,107.982,257453
"Johann Sebastian Bach","Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for Harp by Catrin Finch: Aria","Forever Bach",0.39,0.0756,4,-23.342,0,0.0566,0.986,0.931,0.087,0.236,78.308,173253
"Mother Nature Sound FX","Haven by the Water","! ! ! ! ! ! Amazonian ! ! ! ! ! !",0.364,0.353,5,-22.861,1,0.0947,0.286,1.06e-05,0.732,0.138,71.558,197676
"Taylor Swift","Hey Stephen","Fearless",0.842,0.554,6,-7.355,1,0.0317,0.176,3.49e-06,0.0911,0.805,116.009,256053
"Quilapayún","Caleuche, Parte II","Al Horizonte",0.631,0.561,5,-8.723,1,0.0327,0.815,3.39e-06,0.0884,0.913,135.055,148853
"Bruce Springsteen","Trouble In Paradise - Studio Outtake - 1989","Tracks",0.821,0.594,9,-7.734,1,0.0264,0.128,4.26e-05,0.317,0.293,101.044,277506
"Mother Nature Sound FX","Haven by the Water","Looping Garden Birdsong Pieces",0.364,0.353,5,-22.861,1,0.0947,0.286,1.06e-05,0.732,0.138,71.558,197676
"Johann Sebastian Bach","15 Three-part Inventions, BWV 787/801: No. 7 in E minor, BWV 793","<U+30D0><U+30C3><U+30CF><U+3067><U+904E><U+3054><U+3059><U+304A><U+3046><U+3061><U+6642><U+9593>",0.398,0.0881,4,-24.93,0,0.036,0.993,0.935,0.0702,0.423,66.907,131640
"Ludwig van Beethoven","12 Kontretänze, Hess 102 (Excerpts): No. 6 in C Major","Beethoven: Piano Works",0.498,0.0651,9,-24.017,1,0.0469,0.993,0.92,0.138,0.637,111.699,37404
"Sonata Arctica","The Raven Still Flies","Talviyö",0.309,0.636,7,-8.027,1,0.0353,0.377,0.806,0.432,0.193,119.999,458999
"Mother Nature Sound FX","Serene Waves of Calm","30 Deeply Relaxing Tracks for Ultimate Total Relaxation",0.111,0.0963,1,-24.383,1,0.0457,0.974,0.827,0.106,0.0511,74.072,121000
"Johann Sebastian Bach","Suite for Cello Solo No.1 in G, BWV 1007 - Transcribed for Solo Guitar by Göran Söllscher: 5. Menuet I/II","Born in the 1600s: Bach",0.366,0.199,3,-25.371,1,0.054,0.965,0.916,0.0918,0.482,133.435,172933
"Sergei Rachmaninoff","Suite No.2 for 2 Pianos, Op.17: 3. Romance (Andantino)","Ashkenazy Plays Rachmaninov",0.386,0.044,8,-25.323,1,0.0363,0.993,0.839,0.102,0.0611,67.792,413413
